rank,open_date,close_date,close_time,exit_type,open_price,close_price,price_return_percent,account_return_percent,leverage
1,20210503,20210506,4,TSL1PRE,13926.877,13499.447,-3.069,-40.91908109554973,8
2,20200526,20200527,957,STRUCTURAL_EXIT,9562.16,9288.91,-2.857,-38.08121860969934,8
3,20250818,20250820,981,STRUCTURAL_EXIT,23679.621,23026.165,-2.759,-36.786666648806076,8
4,20200420,20200421,1001,STRUCTURAL_EXIT,8747.21,8506.22,-2.7550000000000003,-36.722295832094396,8
5,20240715,20240718,4,TSL1PRE,20400.732,19839.031,-2.753,-36.70666331127386,8
6,20201109,20201109,1321,STRUCTURAL_EXIT,12193.679,11859.019,-2.7439999999999998,-36.584243022325104,8
7,20200323,20200323,1051,STRUCTURAL_EXIT,7011.51,6827.98,-2.617,-34.88311445625377,10
8,20221205,20221206,971,STRUCTURAL_EXIT,11903.789,11596.399,-2.582,-34.4264836906717,8
9,20251215,20251218,4,TSL1PRE,25393.761,24751.786,-2.528,-33.706666644882496,10
10,20230731,20230803,4,TSL1PRE,15755.189,15364.739,-2.478,-33.03992559538253,8
11,20260622,20260625,4,TSL1PRE,30513.62,29785.014,-2.387,-31.826666666267855,8
12,20240415,20240415,1174,STRUCTURAL_EXIT,18163.599,17743.343,-2.313,-30.83999816939107,10
13,20240429,20240502,4,TSL1PRE,17793.753,17394.108,-2.245,-29.933322928422456,8
14,20211108,20211111,4,TSL1PRE,16356.807,15995.309,-2.21,-29.46627351731218,8
15,20220307,20220307,1008,STRUCTURAL_EXIT,13832.309,13565.809,-1.926,-25.67951436264513,8
16,20251103,20251106,4,TSL1PRE,26099.055,25629.069,-1.7999999999999998,-23.999999977145194,8
17,20190812,20190815,4,TSL1PRE,7602.37,7465.659,-1.798,-23.969816766669027,10
18,20240102,20240104,4,TSL1PRE,16674.229,16383.159,-1.745,-23.266661903990048,8
19,20210104,20210104,1032,STRUCTURAL_EXIT,12936.179,12717.009,-1.694,-22.586145740189057,8
20,20230103,20230103,1008,STRUCTURAL_EXIT,11033.619,10849.319,-1.67,-22.266445849398387,10
